Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Population,Continent
China,12791553,13.20%,138.7,5.42,1.43,1439323774,Asia
India,4443000,4.60%,51.4,5.05,1.33,1380004385,Asia
Japan,4012877,4.10%,481.5,4.69,1.24,126476458,Asia
Russia,3631287,3.70%,383.2,3.41,0.9,145934460,Europe
Saudi Arabia,3302000,3.40%,1560.2,2.35,0.62,34813867,Asia
Brazil,2984000,3.10%,221.9,5.36,1.42,212559409,South America
Canada,2486301,2.60%,1047.6,6.76,1.79,37742157,North America
Germany,2383393,2.50%,444.5,7.65,2.02,83783945,Europe
Mexico,2052607,2.10%,255.1,4.36,1.15,128932753,North America
Iran,1803999,1.90%,347.6,0.2,0.05,83992953,Asia
France,1705568,1.80%,404.3,8.27,2.19,65273512,Europe
Indonesia,1623000,1.70%,95.1,4.48,1.18,273523621,Asia
United Kingdom,1583896,1.60%,366.2,8.38,2.22,67886004,Europe
Singapore,1357000,1.40%,3679.5,8.71,2.3,5850343,Asia
Thailand,1302000,1.30%,289.4,5.7,1.51,69799978,Asia
Italy,1236628,1.30%,312.5,8.01,2.12,60461828,Europe
Spain,1290063,1.30%,424.1,8.35,2.21,46754783,Europe
Australia,1114645,1.10%,704.3,5.22,1.38,25499881,Oceania
Turkey,941861,1.00%,180.9,6.06,1.6,84339067,Asia
Taiwan,981203,1.00%,636.9,3.94,1.04,23816775,Asia
Netherlands,937098,1.00%,846.0,9.33,2.47,17134873,Europe
Egypt,877000,0.90%,142.3,1.97,0.52,102334403,Africa
Iraq,857000,0.90%,358.9,1.95,0.51,40222503,Asia
United Arab Emirates,896000,0.90%,1467.3,4.15,1.1,9890400,Asia
South Africa,640000,0.70%,174.6,5.59,1.48,59308690,Africa
Argentina,709000,0.70%,249.8,3.96,1.05,45195777,South America
Malaysia,708000,0.70%,353.7,1.76,0.46,32365998,Asia
Belgium,631522,0.70%,852.6,8.36,2.21,11589616,Europe
Pakistan,556000,0.60%,41.9,3.9,1.03,220892331,Asia
Poland,582161,0.60%,234.9,6.8,1.8,37846605,Europe
Venezuela,598000,0.60%,307.1,0.08,0.02,28435943,South America
Vietnam,478000,0.50%,78.3,5.38,1.42,97338583,Asia
